name,lat,lng,rating,types
BOLKIRI Malakoff Street Food Viêt,48.8152173,2.289368,4.7,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Abl Food,48.8164189,2.2895276,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Eat Inn,48.81639389999999,2.289543,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Chicken Story,48.8137062,2.2788906,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Hm Dellys,48.8161171,2.2901835,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Bar Restaurant l’Auberge,48.8161171,2.2901835,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Sayori Sushi,48.81378950000001,2.2861714,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Tabac de la gare,48.818589,2.2912928,4.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Caverne A Pizza,48.81928439999999,2.2876555,3.2,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Grenier A Pain Vanves,48.8193831,2.2883368,4.3,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Restaurant Le Metro,48.8142283,2.295553099999999,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']"
BOLKIRI Malakoff Street Food Viêt,48.8152173,2.289368,4.7,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Hm Dellys,48.8161171,2.2901835,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Bar Restaurant l’Auberge,48.8161171,2.2901835,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Eat Inn,48.81639389999999,2.289543,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Abl Food,48.8164189,2.2895276,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Carrefour Express,48.8144096,2.2867538,2.8,"['supermarket', 'grocery_or_supermarket', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Maison Denis Par Bibi,48.8142078,2.2864249,4.8,"['liquor_store', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Hit thai,48.8163426,2.2927658,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Madame Kerboub Jalila,48.8163712,2.2927719,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Le Canastel,48.8163227,2.292821599999999,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
L'Amandine,48.81771080000001,2.2837367,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Jackore,48.8180377,2.2919888,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Andorra Restaurante,48.8184571,2.2917963,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Carrefour City,48.8183593,2.2862206,3.5,"['supermarket', 'grocery_or_supermarket', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
