name,lat,lng,rating,types
Carrefour City,48.81820070000001,2.2462294,3.1,"['supermarket', 'grocery_or_supermarket', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Meudon Running Company,48.8169274,2.2484028,4.9,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
Parexlanko,48.8176014,2.2485941,4.2,"['store', 'point_of_interest', 'establishment']"
KAMS,48.8197844,2.245562,,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
La Boutique du Val - Meudon,48.8116898,2.2473544,5.0,"['store', 'point_of_interest', 'establishment']"
Trésors d'Encadrement,48.8150139,2.2440799,5.0,"['store', 'point_of_interest', 'establishment']"
Hanakawa,48.81602739999999,2.2461128,5.0,"['florist', 'store', 'point_of_interest', 'establishment']"
Dunbia Paris.,48.81509899999999,2.247151699999999,,"['store', 'food', 'point_of_interest', 'establishment']"
B.inK Tattoo - Studio de Tatouages et piercings - Haut de Seine 92,48.81642480000001,2.2471058,4.8,"['store', 'point_of_interest', 'establishment']"
Chez Bachir - Alimentation Générale,48.81445060000001,2.240921199999999,4.9,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
Crêperie KORNER SPÉCIAL (Meudon),48.8143511,2.2408605,5.0,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
VASYCLIC,48.8179077,2.246217,5.0,"['store', 'point_of_interest', 'establishment']"
Perenchio Boulangerie,48.8179577,2.2460803,4.7,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']"
La Refile - friperie et ateliers de couture,48.81705909999999,2.2479698,4.2,"['store', 'point_of_interest', 'establishment']"
Distri Meudon,48.8182237,2.246261000000001,,"['convenience_store', 'store', 'food', 'point_of_interest', 'establishment']"
Soulyé,48.8187331,2.2450433,,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
woodpanelwallsEU,48.81875660000001,2.2452157,,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Qawameka,48.8186733,2.2414909,,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
Ace,48.8167136,2.2554568,5.0,"['store', 'point_of_interest', 'establishment']"
